Entity,Whilte_list
"Filtronic Compound Semiconductors, Limited",O
ADI,O
Intel Xeon Phi,X
DJI,O
NetWare,X
MediaTek Unigroup,X
Congress,X
Facebook,O
Halliburton,O
Provigent,O
Treasury of SCI LLC,X
Tsinghua Holdings Co . Ltd,X
"Power Integrations, Inc",O
Broadcom Corporation,O
JV  Co . Ltd,X
HD,X
Rohm Semiconductor,O
DO,X
"Atheros Communications , Inc",X
TOP500,X
Garmin,O
Snapdragon,X
SCI,X
AXSEM,O
Broadband and Wireless and Infrastructure and Networking,X
R&E International,O
TD-SCDMA,X
Chartered Semiconductor Manufacturing Ltd,O
"Sound Design Technologies, Ltd",O
8-K,X
Texas Semiconductor Corporation,X
Qorvo,O
Home Networking Powerline,X
Wireless,X
1X Advanced and DO Advanced,X
MoCA Networking SoCs,X
Small,X
QCT,O
Candescent,O
Care,X
Mechanical University of Notre Dame,X
Finance,X
Ltd Inc,X
"Sybase, Inc",O
General Instrument/General Semiconductor,O
NXP Semiconductor Corporation,X
M.S.E.E,X
STMicroelectronics Semiconductors N.V,X
CdmaOne,X
Punjab,X
Kintex,X
ISSC Technologies Corporation,O
Crutcher,X
ESS Semiconductors N.V,X
Haswell,X
ASML Holding N.V,O
Comcast Cable Communications Management LLC,O
Research,X
Sharp,X
Morgan,X
LTE Advanced Pro,X
Protection Product Group,X
Baidu,O
"B.S. , M.S",X
PCT,X
TD-CDMA,X
WEDGE,X
Yukon,X
"Analog Systems , Inc",X
ASIC,X
"Freescale Technologies Co. , Ltd",X
Chamberlain,X
STATSChipPAC,X
STAR,X
Bachelor of Science,X
Renesas Instruments Incorporated,X
WSTS,X
"NetLogic Microsystems, Inc",O
SeaMicro,O
Motorola ’s Semiconductor Products Sector,X
Qualcomm Technology Licensing,O
"Acoustic Technologies, Inc",O
"Beceem Communications, Inc",O
Marketing and Sales,X
RADAR,X
Hy-Fi,X
"Nantong Fujitsu Microelectronics, Co., Ltd",O
Qualcomm Instruments Incorporated,X
"Ambarella, Inc",O
BeiDou,O
TL,O
HI-TECH,X
Fairchild Technologies AG,X
Conexant Systems,O
Monolithic and Sensing,X
vivo,X
Xyratex,X
Lantiq Technology Group,X
Signal Management and High-Reliability and Wireless and Sensing,X
Embedded,X
AAC Semiconductor Inc,X
Nippon,X
Leadis Technology Inc,O
Amkor Technology,O
"Licensing,which",X
Professional,X
"NetLogic Microsystems , Inc",X
Taiwan Semiconductor Manufacturing Company Limited's,O
Client Center Group,X
"SMART Technologies , Inc",X
Tritech Microelectronics,O
OS Electronics,O
Telegesis,O
Coreware,O
Geode,X
DriveWorks,O
National Cancer Institute,O
"National Fargo Securities , LLC",X
Icera's,O
100 F . Street,X
Advanced Metering Infrastructure,X
Diodes Semiconductors N.V,X
ICERA,O
Benchmark,X
Virtex,X
Cellular,X
RF,X
Avago Micro Devices,X
PulseCore Holdings,O
"Avnera Technology , Inc",X
LTE-U,X
BiFET,X
Numonyx B.V,O
ATI CrossFire Pro,X
APEX,X
Knowles Corporation,O
Parallel,X
Maskhouse Building Administration GmbH & Co. KG,O
ASUs,X
Co-GM,X
Note14,X
Client and Technology Solutions,X
SANYO University of Tokyo,X
Protection Products Group,X
Lenovo Group Limited,O
"ESS Technology, Inc",O
ISO / TS-16949,X
Discrete Mobile Graphics,X
Consumers Gartner Camera Report,X
International Business Machines Corporation,O
Audit Governance committees of our Board of Directors,X
ROCm,X
"Coherent , Inc",X
GCN,X
IGP,X
Cloud Computing Platforms.Mobile,X
Energy Micro,O
Qualcomm Strategic Initiatives,O
LG,O
Continental Automotive Systems,X
Wolfson Microelectronics,O
"Micron Technology , Inc",X
"NXP Intertechnology , Inc",X
Advanced Driver Assistance Systems,X
Revolving Credit Facility,X
Texas Technology Corporation,X
OS,X
Automotive & Industrial Systems Company,O
ESPP,X
Alphabet Technologies Co . Ltd,X
Qualcomm Strategic Initiatives,O
Freescale Semiconductor Inc,O
NVIDIA CUDA,O
Signal Instruments Incorporated,X
Business University of Redlands,X
Company Loan Parties,X
TDK-EPCOS Corporation,O
Ericsson Integrated Products,X
Netbook,X
Credit,X
NVIDIA GRID,O
Faculty,X
DGX,X
Technicolor Medical Systems,X
"UMC Electronics Co. , Ltd",X
Smart Networked Devices and Solutions,X
"ARM Technologies Co. , Ltd",X
Fusion,X
"MediaTek, Microchip Technology Inc",O
Motorola Mobility,O
Realtek Semiconductor,O
This Business Outlook,X
SWKS,O
Premier,X
ICAP Business,O
Honda,O
Intel Technology Corp,X
EVS,O
McAfee Endpoint Security,O
Integrated Device Technology,O
Rambus Inc,O
Inphi Micro Circuits Corporation,X
RF360,X
"SeaMicro, Inc",O
Ernst & Young LLP,O
1xEV-DO Revision C,X
Software and Services,X
SMI,O
GaN,X
Bogazici,X
SC Square Ltd,O
Intersil Semiconductor Corporation,X
Error,X
ATI,X
Hon / Foxconn,X
Spartan-6,X
Sequans,X
"NuVasive, Inc",O
Maxtor,O
Oregon State University,X
QFE,X
UltraScale,X
7-Series,X
Annual Visual Networking,X
"VMware, Inc",O
"Qualcomm , Inc",X
Mechanical University of California at Davis,X
Smart Energy Platform,X
Notebook,X
"DexCom , Inc",X
Southern Methodist University,X
Electronic Data Interface,X
ZigBee,X
Murata,X
Philips Electronics,O
LiquidVR,X
Lantiq,X
Hamilton,X
our Credit Facility,X
WCH,X
Intel Corporation,O
Global Distribution and Electronic Manufacturing Services Industry,X
"our Audit and Finance , Compensation , Nominating and Corporate Governance and Innovation and Technology committees of our Board of Directors",X
Delta,O
Mitsubishi Electronics Corporation,X
Northrop Grumman,O
Toshiba Corporation,O
Investor Securities and Exchange Commission,X
Alphabet Inc,O
Communication & Data Center,X
Amazon Web Services,O
Plan,X
LTE,X
World Semiconductor Trade Statistics,X
Maxim Technology Inc,X
National Development and Reform Commission,O
Analog Products Groups,X
DragonFly,O
HAUHONG,X
"Wind River Systems , Inc",X
Tier,X
TouchXpress,X
EZRadio,X
3GPP Release 13,X
"Bytemobile , Inc",X
Google,O
Porsche,O
Mubadala,X
GSMA,X
Commission,X
"Qualcomm Europe, Inc",O
Celestica,X
Time,X
Our Board of Directors,X
EnVerv PLC,O
Elmos,X
Client Data Center Group,X
Microsoft,O
Things and Communications Group,X
Business University of California,X
UMTS,X
Cayman Inc,O
Intersil Inc,O
Research and Development,X
Peregrine Semiconductor,O
Numonyx,O
UTAC,O
Sierra,X
Virginia,X
"Administrative Fargo Securities , LLC",X
Toshiba Semiconductor Manufacturing Company Limited,X
Alicloud,X
Silicon Motion Technology Corporation,O
CDMA,X
Worldwide Sales & Marketing,X
Networking & Connectivity,X
Applications Products Group,X
Schneider,O
Penang,X
SANYO Electric,O
Mountain,X
Barclays Lead Arrangers,X
Morgan Stanley,O
Edom,X
"Littelfuse, Inc",O
ESE,X
TDMA,X
Business / MIS,X
Mubadala Development Company PJSC,O
SMS Audio,O
Foxconn,X
DirectX,X
Spectra,X
Future,X
SANYO Semiconductor Group,O
Licensed Assisted Access,X
Novellus,O
Agere,X
Quanta,X
Arrow Electronics,O
Yosun,X
Facilities,X
Wells,X
Power and High-Reliability,X
West Virginia University,X
TPG,O
"Diodes Co. , Ltd",X
Display Company,O
IHS Markit Ltd,O
University of Arizona,X
SANYO Semiconductor Transaction,O
"Intel , Inc",X
PM,X
VSOE,O
LTE-Advanced,X
Optical Transceiver Module IC 's,X
PureEdge,O
New & Defense and Communications,X
Atlantic,X
DCG,O
Advanced Interconnect Technologies,O
Vulkan,X
WT Microelectronics,O
"Advanced Micro Devices , Inc",X
Maxwell,O
Maxim,O
Advanced Technology Investment Company LLC,O
"Industrial , Aerospace & Defense and Broadcast , Consumer & Automotive",X
Icera modem,O
Ms . Strelar-Migotti,X
NVIDIA Ansel,O
Atmel,O
Freescale Semiconductor,O
Joint,X
SBX,X
Texas Instruments,O
Armada,X
California Micro Devices Corporation,O
Maxim Integrated,O
Ethernet Copper Transceivers,X
Triquint,X
GAAP,X
"Analog Technology , Inc",X
DBSI,X
Macbook,X
Lattice,X
Virtex-7,X
R & E International,X
MetroHealth,X
a Human Resources Generalist,X
MulteFire,X
Service Provider Platforms,X
Nordic,X
"Huawei Technologies Co., Ltd",O
P-1,X
One AMD Place,X
